Player,Team,G,PA,AVG,OBP,SLG,OPS,HR,RBI,WAR
Freddie Freeman,LAD,147,637,0.331,0.41,0.567,0.977,29,102,6.2
Matt Olson,ATL,162,719,0.283,0.389,0.604,0.993,54,139,5.4
Pete Alonso,NYM,154,658,0.217,0.318,0.504,0.822,46,118,2.8
Christian Walker,ARI,157,661,0.258,0.333,0.497,0.83,33,103,3.5
Paul Goldschmidt,STL,154,687,0.268,0.363,0.447,0.81,25,80,3.4
Nathaniel Lowe,TEX,161,724,0.262,0.36,0.414,0.774,17,82,1.8
Vladimir Guerrero Jr.,TOR,156,697,0.264,0.345,0.444,0.789,26,94,1.3
Rhys Hoskins,PHI,125,543,0.246,0.332,0.462,0.794,30,79,2
Anthony Rizzo,NYY,99,421,0.244,0.328,0.378,0.706,12,41,0.9
Spencer Torkelson,DET,159,684,0.233,0.313,0.446,0.758,31,94,1.7
