Player,Team,G,PA,AVG,OBP,SLG,OPS,HR,RBI,WAR,OPS_z,HR_z,RBI_z,WAR_z,OBP_z,SLG_z,Overall_Score
Matt Olson,ATL,162,719,0.283,0.389,0.604,0.993,54,139,5.4,1.835910091307151,1.916657898957207,1.757268898214881,1.42296802949292,1.2690384939384003,1.8627377764342492,1.6924872746191373
Freddie Freeman,LAD,147,637,0.331,0.41,0.567,0.977,29,102,6.2,1.6607487230250138,-0.1051331336980747,0.33764118568320844,1.878317798930654,1.9369534907480828,1.3230251865511855,1.247178675235383
Pete Alonso,NYM,154,658,0.217,0.318,0.504,0.822,46,118,2.8,-0.0361270322081917,1.2696847685075168,0.9515342505617695,-0.05691872117971684,-0.9891503047991016,0.4040551010746192,0.26423292262367
Christian Walker,ARI,157,661,0.258,0.333,0.497,0.83,33,103,3.5,0.05145365193287703,0.21835343152677036,0.3760095022381185,0.34151232707830076,-0.5120681642207557,0.301947313799445,0.17420955363257334
Paul Goldschmidt,STL,154,687,0.268,0.363,0.447,0.81,25,80,3.4,-0.16749805841979357,-0.42861969892291973,-0.506461778524813,0.28459360589858396,0.44209611693593415,-0.42739402388036996,-0.11826058068928468
Rhys Hoskins,PHI,125,543,0.246,0.332,0.462,0.794,30,79,2.0,-0.34265942670193106,-0.024261492391863437,-0.544830095079723,-0.5122684906174511,-0.5438736402593122,-0.20859162257642522,-0.3726635834983604
Vladimir Guerrero Jr.,TOR,156,697,0.264,0.345,0.444,0.789,26,94,1.3,-0.397397354290099,-0.3477480576167085,0.030694653243927943,-0.9106995388754685,-0.13040245175808085,-0.4711545041411589,-0.4395688733542569
Spencer Torkelson,DET,159,684,0.233,0.313,0.446,0.758,31,94,1.7,-0.7367725053367403,0.056610148914347826,0.030694653243927943,-0.6830246541566014,-1.1481776849918834,-0.44198085063396625,-0.4979540849883698
Nathaniel Lowe,TEX,161,724,0.262,0.36,0.414,0.774,17,82,1.8,-0.5616111370546029,-1.0755928293726098,-0.42972514541499285,-0.6261059329768845,0.346679688820265,-0.9087593067490484,-0.5929634919234011
Anthony Rizzo,NYY,99,421,0.244,0.328,0.378,0.706,12,41,0.9,-1.306046952253687,-1.4799510359036663,-2.0028261241663055,-1.1383744235943358,-0.6710955444135377,-1.4338850698785148,-1.35669781165709
